自定义编号,工作项名称,负责人,工作状态,重要程度,工作进度,计划开始时间,计划结束时间,实际开始时间,实际结束时间,大纲数字
0101,项目前期阶段,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-1,,1
010101,立项,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.1
01010101,可行性研究,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.1.1
01010102,规划选址,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.1.2
01010103,地名申请,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.1.3
01010104,计委立项,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.1.4
01010105,投资预算,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.1.5
01010106,融资计划,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.1.6
01010107,建设用地规划许可证,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.1.7
01010108,土地勘测,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.1.8
01010109,出让合同,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.1.9
01010110,建设用地批准书,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.1.10
01010111,房地产权证（地块证）,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.1.11
010102,方案,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2
01010201,方案设计单位委托,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.1
0101020101,设计招投标,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.1.1
0101020102,地勘招投标,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.1.2
01010202,概念设计,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.2
01010203,市场调查,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.3
01010204,项目策划、定位,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.4
01010205,编制方案设计任务书,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.5
01010206,组织方案设计,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.6
01010207,前期配套单位方案征询,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7
0101020701,上水,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7.1
0101020702,电,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7.2
0101020703,煤,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7.3
0101020704,电信,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7.4
0101020705,有线,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7.5
0101020706,环保,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7.6
0101020707,环卫,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7.7
0101020708,绿化,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7.8
0101020709,人防,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7.9
0101020710,河道,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7.10
0101020711,市政,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7.11
0101020712,教育,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.7.12
01010208,方案会审,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.8
0101020801,内部方案会审,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.8.1
0101020802,一审方案,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.8.2
0101020803,终审方案,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.8.3
0101020804,方案评审会,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.2.8.4
010103,拆迁,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.3
01010301,拆迁许可证领取,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.3.1
01010302,拆迁委托,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.3.2
01010303,拆迁赔偿,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.3.3
01010304,拆迁清场,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.3.4
010104,方案扩初,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4
01010401,扩初设计,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.1
01010402,扩初内审,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.2
01010403,扩初评审,,进行中,一般,0%,2007-7-1,2007-10-1,2007-7-5,,1.4.3
