类型,级次,科目编码,科目名称,助记码,外币币种,计量单位,辅助账类型,账页格式,余额方向,是否借方科目,是否贷方科目
成本,3,410744001,开发间接费用-固定资产折旧费,,,,,金额式,借,是,是,
成本,3,410744011,开发间接费用-固定资产清理费,,,,,金额式,借,是,是,
成本,3,410744021,开发间接费用-开办费摊销,,,,,金额式,借,是,是,
成本,3,410744031,开发间接费用-递延支出摊销,,,,,金额式,借,是,是,
成本,3,410744041,开发间接费用-低值易耗品摊销,,,,,金额式,借,是,是,
成本,3,410744051,开发间接费用-无形资产摊销,,,,,金额式,借,是,是,
成本,2,410745,开发间接费用-损失,,,,,金额式,借,是,是,
成本,3,410745001,开发间接费用-坏帐损失,,,,,金额式,借,是,是,
成本,3,410745011,开发间接费用-存货盘亏损失,,,,,金额式,借,是,是,
成本,3,410745021,开发间接费用-存货跌价损失,,,,,金额式,借,是,是,
成本,2,410755,开发间接费用-金融,,,,,金额式,借,是,是,
成本,3,410755001,开发间接费用-银行存款利息收入,,,,,金额式,借,是,是,
成本,3,410755101,开发间接费用-银行贷款利息支出,,,,,金额式,借,是,是,
成本,3,410755102,开发间接费用-股东贷款利息支出,,,,,金额式,借,是,是,
成本,3,410755103,开发间接费用-融资咨询费用,,,,,金额式,借,是,是,
成本,3,410755201,开发间接费用-银行手续费,,,,,金额式,借,是,是,
成本,3,410755301,开发间接费用-汇兑损益,,,,,金额式,借,是,是,
