自定义编号,工作项名称,负责人,工作状态,重要程度,工作进度,计划开始时间,计划结束时间,实际开始时间,实际结束时间,大纲数字
10104,方案扩初,,未开始,一般,0%,2008-4-25,2008-5-25,,,1
1010401,扩初设计,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.1
1010402,扩初内审,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.2
1010403,扩初评审,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.3
101040301,环卫,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.3.1
101040302,环保,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.3.2
101040303,绿化,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.3.3
101040304,交通,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.3.4
101040305,人防,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.3.5
101040306,卫生,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.3.6
101040307,市政,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.3.7
101040308,水,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.3.8
101040309,电,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.3.9
101040310,煤,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.3.10
101040311,电信,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.3.11
101040312,有线,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.3.12
101040313,技防,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.3.13
101040314,河道,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.3.14
101040315,教育,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.3.15
101040316,房地局,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.3.16
101040317,规划局,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.3.17
101040318,抗震办,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.3.18
101040319,防雷,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.3.19
101040320,街道，镇,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.3.20
1010404,公建配套核定,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.4
1010405,扩初方案报批,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.5
1010406,施工现场三通工作,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.6
101040601,临水，临电,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.6.1
101040602,场地平整,,未开始,一般,0%,2008-4-25,2008-5-25,,,1.6.2
