自定义编号,工作项名称,负责人,工作状态,重要程度,工作进度,计划开始时间,计划结束时间,实际开始时间,实际结束时间,大纲数字
103,项目预售阶段,,进行中,一般,0%,2008-10-27,2008-12-27,,,1
10301,预售许可证,,进行中,一般,0%,2008-10-27,2008-12-27,,,1.1
1030101,预测面积,,进行中,一般,0%,2008-10-27,2008-12-27,,,1.1.1
1030102,领取预售许可证,,进行中,一般,0%,2008-10-27,2008-12-27,,,1.1.2
1030103,预售合同模版审定,,进行中,一般,0%,2008-10-27,2008-12-27,,,1.1.3
1030104,物业管理公司招投标,,进行中,一般,0%,2008-10-27,2008-12-27,,,1.1.4
